Hu1,Hu2,Hu3,Hu4,Hu5,Hu6,Hu7
3.16264800476,7.63493438541,10.4052860251,12.0602678115,24.8992048138,-16.6219900454,-23.2931779491
3.16526404327,7.58679240535,10.5904950662,12.1637163863,23.6157441551,15.9574284203,23.8082794595
3.1960487517,8.21672000927,12.2919245465,13.9735469842,27.2936733783,-18.5998206706,-27.2252846282
3.16386962459,7.87155981775,10.3377291196,12.1512782295,-24.0707576001,-17.0926804999,-23.4057059595
3.199287314,9.22146318742,11.1599637098,13.578980021,26.7159104115,19.3479419923,25.954882494
3.19971408295,8.99940472696,11.4675383553,14.3623220073,-27.3291407293,-18.9222927052,27.6135215069
3.17921160348,7.92500317379,10.5338050879,12.4847281902,24.7387331478,16.8268982657,-24.0011465369
3.03626514113,8.52150288942,9.84349227621,10.8620344677,-21.5258982652,-16.0225960614,-21.2740115743
2.9749911602,7.52505504006,9.75524150301,10.4496163605,20.6083224047,-15.2704494492,-20.8727877305
3.10168813241,7.37731830399,10.9093652173,11.6018386731,-22.9098458287,-15.5882209635,23.191806435
3.11056484981,7.69323234279,10.8230163259,11.5423505711,-22.8285582669,15.9521632142,-22.9355996892
3.03770813743,6.76690090431,9.87219644617,11.4881317192,-22.2323281971,-14.9101776046,-22.4647031079
3.0233957742,6.63933808053,9.88922459578,11.178285641,21.9143206068,14.9781192445,21.8207862717
3.11499317066,7.69683933055,10.9335621019,11.6807579959,-23.0278446856,-15.9329249058,-23.3753213361
3.13526655224,8.02978067131,10.7051298062,12.0354699518,23.4418915157,16.0504024109,23.8130735262
3.11626465672,7.19581334877,10.3454386366,12.113686943,-23.8054265463,-16.8044427851,23.3707684935
3.08935572691,6.84516080093,10.2748621451,11.5628813922,22.5190830813,15.034148452,22.8824994205
2.90329646308,6.76323648907,9.58331404946,10.340677383,-20.5689731649,-13.7595041317,-20.3780737772
3.12971746913,7.95412131628,10.7647589304,12.3189494634,-23.869363626,-16.4097356807,24.5672107265
3.14953632941,8.69766979277,10.8579731257,12.2251410496,24.0921707625,16.8303514007,23.8215953567
3.15585413121,7.96926365976,11.7058168766,12.0677353009,24.8011364426,16.9613449651,-23.9589571121
